NAME;ZUSATZ;STRASSE;NUMMER;PLZ;STADT;LAND;ADRESS_TYP;REFERENZ
Hochschule für öffentliche Verwaltung und Rechtspflege (FH), Fortbildungszentrum des Freistaates Sachsen;;Herbert-Böhme-Straße;11;;;DEU;HOUSE;1035
Fachhochschule für Finanzen Brandenburg;;Schillerstraße;6;;;DEU;HOUSE;978
Hochschule für Künste Bremen;;Am Speicher XI;8;;;DEU;HOUSE;978
Hochschule für Bildende Künste Hamburg;;Lerchenfeld;2;;;DEU;HOUSE;964
Hochschule für Bildende Künste Braunschweig;;Johannes-Selenka-Platz;1;38015;Braunschweig;DEU;HOUSE;951
Hochschule für Forstwirtschaft Rottenburg;;;Schadenweilerhof;;;DEU;HOUSE;948
Filmuniversität Babelsberg Konrad Wolf;;Marlene-Dietrich-Allee;11;14437;Potsdam;DEU;HOUSE;942
International Psychoanalytic University Berlin;;Stromstr.;3b;;;DEU;HOUSE;941
HSD Hochschule Döpfer;;Tuchmacherstraße;48b;;;DEU;HOUSE;934
HSBA Hamburg School of Business Administration;;Willy-Brandt-Straße;75;;;DEU;HOUSE;928
Evangelische Hochschule Freiburg, staatlich anerkannte Hochschule der Evangelischen Landeskirche in Baden;;Bugginger Straße;38;79114;Freiburg;DEU;HOUSE;926
NBS Northern Business School – University of Applied Sciences;;Holstenhofweg;62;;;DEU;HOUSE;914
Hochschule für öffentliche Verwaltung Rheinland-Pfalz;;St.-Veit-Straße;26-28;;;DEU;HOUSE;912
Hochschule für Musik und Darstellende Kunst Frankfurt am Main;;Eschersheimer Landstraße;29-39;;;DEU;HOUSE;907
Robert-Schumann-Hochschule Düsseldorf;;Fischerstraße;110;;;DEU;HOUSE;888
Fachhochschule für Rechtspflege Nordrhein-Westfalen;;Schleidtalstraße;3;;;DEU;HOUSE;887
Provadis School of International Management and Technology;;;Rudolf-Amthauer-Straße;;;DEU;HOUSE;870
weißensee kunsthochschule berlin;;Bühringstraße;20;;;DEU;HOUSE;849
Bucerius Law School, Hochschule für Rechtswissenschaft;;Jungiusstraße;6;20304;Hamburg;DEU;HOUSE;844
Evangelische Hochschule Dresden;;Dürerstraße;25;1191;Dresden;DEU;HOUSE;839
Staatliche Akademie der Bildenden Künste Stuttgart;;Am Weißenhof;1;;;DEU;HOUSE;830
Fachhochschule der Verwaltung des Saarlandes;;Am Campus;7;;;DEU;HOUSE;802
HMU Health and Medical University;;Nordhäuser Straße;74;;;DEU;HOUSE;798
Hochschule für Gestaltung Offenbach;;Schloßstraße;31;63065;Offenbach;DEU;HOUSE;786
Mediadesign Hochschule für Design und Informatik;;Franklinstraße 28 -;29;;;DEU;HOUSE;778
HHL Leipzig Graduate School of Management;;Jahnallee;59;4109;Leipzig;DEU;HOUSE;766
Fachhochschule der Polizei Brandenburg;;Bernauer Str.;146;;;DEU;HOUSE;763
Hertie School;;Quartier 110, Friedrichstraße;180;;;DEU;HOUSE;762
Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart;;Urbanstraße;25;;;DEU;HOUSE;759
Fachhochschule der Diakonie - Diaconia - University of Applied Sciences;;Bethelweg;8;;;DEU;HOUSE;754
Hochschule für Musik Carl Maria von Weber Dresden;;Wettiner Platz;13;1001;Dresden;DEU;HOUSE;748
Akademie der Bildenden Künste München;;Akademiestraße;2-4;;;DEU;HOUSE;746
Hochschule für Musik Franz Liszt Weimar;;Platz der Demokratie;2/3;99406;Weimar;DEU;HOUSE;739
SRH Hochschule in Nordrhein-Westfalen;;Platz der Deutschen Einheit;1;59065;Hamm;DEU;HOUSE;737
Evangelische Hochschule für Soziale Arbeit & Diakonie;;Horner Weg;170;;;DEU;HOUSE;731
Hochschule Fresenius Heidelberg – staatlich anerkannte Hochschule der Hochschule Fresenius für Internationales Management GmbH;;Sickingenstraße;63-65;;;DEU;HOUSE;730
IB Hochschule für Gesundheit und Soziales;;Breitenbachstraße;23;;;DEU;HOUSE;725
Hochschule für Rechtspflege Schwetzingen;;Karlsruher Straße;2;;;DEU;HOUSE;716
Hochschule für Finanzwirtschaft & Management;;Simrockstraße;4;;;DEU;HOUSE;710
Fachhochschule Polizei Sachsen-Anhalt;;Schmidtmannstraße;86;;;DEU;HOUSE;705
Hochschule für Gestaltung Schwäbisch Gmünd;;Rektor-Klaus-Str.;100;73503;Schwäbisch Gmünd;DEU;HOUSE;698
Medizinische Hochschule Brandenburg Theodor Fontane;;Fehrbelliner Str.;38;;;DEU;HOUSE;678
Zeppelin Universität - Hochschule zwischen Wirtschaft, Kultur und Politik;;Am Seemoser Horn;20;;;DEU;HOUSE;675
Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege des Landes Mecklenburg-Vorpommern;;Goldberger Straße;12-13;;;DEU;HOUSE;669
Hochschule für Finanzen Rheinland-Pfalz;;Luitpoldstraße;33;;;DEU;HOUSE;666
ESMT European School of Management and Technology;;Schlossplatz;1;;;DEU;HOUSE;658
Hochschule für Musik Detmold;;Neustadt;22;;;DEU;HOUSE;652
Hochschule für Öffentliche Verwaltung Bremen;;Doventorscontrescarpe;172c;;;DEU;HOUSE;648
Psychologische Hochschule Berlin (PHB);;Am Köllnischen Park;2;;;DEU;HOUSE;646
Thüringer Fachhochschule für öffentliche Verwaltung;;Bahnhofstraße;12;;;DEU;HOUSE;641
Hochschule der Sächsischen Polizei (FH);;Friedensstraße;120;;;DEU;HOUSE;640
Hochschule für Musik Freiburg;;Mendelssohn-Bartholdy-Platz;1;79095;Freiburg;DEU;HOUSE;610
Munich Business School - Staatlich anerkannte private Fachhochschule;;Elsenheimerstraße;61;;;DEU;HOUSE;609
Berlin International University of Applied Sciences;;Salzufer;6;;;DEU;HOUSE;605
Staatliche Hochschule für Musik und Darstellende Kunst Mannheim;;N 7,;18;;;DEU;HOUSE;598
Leibniz-Fachhochschule;;Expo Plaza;11;;;DEU;HOUSE;584
Akademie der Polizei Hamburg;;Carl-Cohn-Straße;39;;;DEU;HOUSE;582
GISMA Business School;;Konrad-Zuse-Ring;11;;;DEU;HOUSE;577
Hochschule für Musik Karlsruhe;;Am Schloss Gottesaue;7;76040;Karlsruhe;DEU;HOUSE;571
Kunstakademie Düsseldorf;;Eiskellerstraße;1;;;DEU;HOUSE;569
Fachhochschule für die Wirtschaft Hannover;;Freundallee;15;;;DEU;HOUSE;569
Allensbach Hochschule Konstanz,  staatlich anerkannte Hochschule der European Education Group GmbH;;Lohnerhofstraße;2;78467;Konstanz;DEU;HOUSE;565
CODE University of Applied Sciences;;Lohmühlenstr.;65;;;DEU;HOUSE;564
Hochschule für Musik Hanns Eisler Berlin;;Charlottenstraße;55;;;DEU;HOUSE;555
Hochschule für Musik Würzburg;;Hofstallstraße;6-8;;;DEU;HOUSE;555
Hochschule für Bildende Künste Dresden;;Güntzstraße;34;1287;Dresden;DEU;HOUSE;554
Muthesius Kunsthochschule;;Legienstraße;35;;;DEU;HOUSE;554
VICTORIA | Internationale Hochschule;;Bernburger Straße;24-25;;;DEU;HOUSE;552
Fachhochschule Dresden;;Güntzstraße;1;;;DEU;HOUSE;539
Hochschule für Musik und Theater Rostock;;Beim St.-Katharinenstift;8;;;DEU;HOUSE;532
Hochschule für Grafik und Buchkunst Leipzig;;Wächterstraße;11;4008;Leipzig;DEU;HOUSE;524
Private Hochschule für Wirtschaft und Technik Vechta/Diepholz;;Rombergstraße;40;;;DEU;HOUSE;517
Duale Hochschule Schleswig-Holstein - staatlich anerkannte Hochschule für angewandte Wissenschaften in Trägerschaft der Wirtschaftsakademie Schleswig-Holstein;;Hans-Detlev-Prien-Straße;10;;;DEU;HOUSE;512
Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften - HDBW;;Konrad-Zuse-Platz;8;;;DEU;HOUSE;493
Fachhochschule für Sport und Management Potsdam;;Am Luftschiffhafen;1;;;DEU;HOUSE;471
Deutsche Hochschule der Polizei;;Zum Roten Berge;18;;;DEU;HOUSE;462
CVJM-Hochschule;;Hugo-Preuß-Straße;40;;;DEU;HOUSE;458
Hochschule für Musik Nürnberg;;Veilhofstraße;34;;;DEU;HOUSE;455
accadis Hochschule Bad Homburg;;SÜDCAMPUS Bad Homburg Am Weidenring;4;;;DEU;HOUSE;448
Karlshochschule International University - staatlich anerkannte Hochschule der Karlshochschule gemeinnützige GmbH Karlsruhe;;Karlstraße 36 -;38;;;DEU;HOUSE;448
Hochschule der Bildenden Künste Saar;;Keplerstraße;3-5;;;DEU;HOUSE;445
Hochschule für angewandte Pädagogik;;Ostendstraße;1;;;DEU;HOUSE;444
Hochschule Weserbergland;;Am Stockhof;2;31785;Hameln;DEU;HOUSE;443
Hochschule für Philosophie;;Kaulbachstraße;31;80539;München;DEU;HOUSE;428
Hochschule für Musik Saar;;Bismarckstraße;1;66111;Saarbrücken;DEU;HOUSE;423
Kunsthochschule für Medien Köln;;Peter-Welter-Platz;2;;;DEU;HOUSE;418
Hochschule der Deutschen Bundesbank;;;Schloss;57620;Hachenburg;DEU;HOUSE;408
Musikhochschule Lübeck;;Große Petersgrube;21;;;DEU;HOUSE;404
Norddeutsche Hochschule für Rechtspflege - Niedersachsen;;Godehardspl.;6;;;DEU;HOUSE;404
Staatliche Hochschule für Musik Trossingen;;Schultheiß-Koch-Platz;3;;;DEU;HOUSE;389
Hochschule für Fernsehen und Film München;;Bernd-Eichinger-Platz;1;;;DEU;HOUSE;380
Staatliche Akademie der Bildenden Künste Karlsruhe;;Reinhold-Frank-Straße;67;76062;Karlsruhe;DEU;HOUSE;360
Staatliche Hochschule für Gestaltung Karlsruhe;;Lorenzstr.;15;;;DEU;HOUSE;360
SRH Wilhelm Löhe Hochschule;;Merkurstraße 19,;Südstadtpark;;;DEU;HOUSE;355
Hochschule der Wirtschaft für Management;;Oskar-Meixner-Straße;4-6;;;DEU;HOUSE;353
Kunstakademie Münster, Hochschule für Bildende Künste;;Leonardo-Campus;2;;;DEU;HOUSE;353
Norddeutsche Akademie für Finanzen und Steuerrecht;;Hammer Steindamm;129;;;DEU;HOUSE;349
Hochschule für Künste im Sozialen, Ottersberg;;Große Straße;107;28870;Ottersberg;DEU;HOUSE;325
Kühne Logistics University - Wissenschaftliche Hochschule für Logistik und Unternehmensführung;;Großer Grasbrook;17;20457;Hamburg;DEU;HOUSE;324
Freie Hochschule Stuttgart - Seminar für Waldorfpädagogik. Staatlich anerkannte wissenschaftliche Hochschule.;;Haußmannstraße;44a;;;DEU;HOUSE;321
Hochschule der bildenden Künste (HBK) Essen;;Prinz-Friedrich-Str. 28;A;45241;Essen;DEU;HOUSE;320
Brand University of Applied Sciences;;Rainvilleterrasse;4;;;DEU;HOUSE;314
Internationale Hochschule Liebenzell (IHL);;Heinrich-Coerper-Weg;11;75375;Bad Liebenzell;DEU;HOUSE;298
Vinzenz Pallotti University;;Pallottistraße;3;56174;Vallendar;DEU;HOUSE;298
Akademie der Bildenden Künste Nürnberg;;Bingstraße;60;;;DEU;HOUSE;297
Bard College Berlin, A Liberal Arts University;;Platanenstrasse;24;;;DEU;HOUSE;283
Internationale Hochschule SDI München - Hochschule für angewandte Wissenschaften;;Baierbrunner Straße;28;;;DEU;HOUSE;268
Deutsche Universität für Verwaltungswissenschaften Speyer;;Freiherr-vom-Stein-Straße;2;67324;Speyer;DEU;HOUSE;262
Merz Akademie Hochschule für Gestaltung, Kunst und Medien, Stuttgart - Staatlich anerkannt;;Teckstraße;58;;;DEU;HOUSE;245
Charlotte Fresenius Hochschule;;Moritzstr.;17a;;;DEU;HOUSE;224
Philosophisch-Theologische Hochschule Sankt Georgen Frankfurt am Main;;Offenbacher Landstraße;224;;;DEU;HOUSE;223
Theologische Hochschule Friedensau;;An der Ihle;19;;;DEU;HOUSE;220
Berufliche Hochschule Hamburg (BHH);;Anckelmannstraße;10;;;DEU;HOUSE;219
Hochschule für Schauspielkunst Ernst Busch;;Zinnowitzer Straße;11;;;DEU;HOUSE;218
Digital Business University of Applied Sciences;;Oranienstr.;185;;;DEU;HOUSE;203
Hochschule Clara Hoffbauer (HCHP) - University of Applied Sciences;;Hermannswerder;7;;;DEU;HOUSE;194
Evangelische Hochschule Tabor;;Dürerstraße;43;;;DEU;HOUSE;193
Freie Theologische Hochschule Gießen;;Rathenaustraße;5-7;;;DEU;HOUSE;191
Palucca Hochschule für Tanz Dresden;;Basteiplatz;4;;;DEU;HOUSE;178
XU Exponential University of Applied Sciences;;August-Bebel-Straße;26-53;;;DEU;HOUSE;176
Kirchliche Hochschule Wuppertal;;Missionsstraße 9;a/b;;;DEU;HOUSE;171
Theologische Fakultät Trier;;Universitätsring;19;;;DEU;HOUSE;147
Touro College Berlin;;Am Rupenhorn;5;;;DEU;HOUSE;139
Hochschule für Katholische Kirchenmusik und Musikpädagogik;;Andreasstraße;9;;;DEU;HOUSE;139
Hochschule für Gesellschaftsgestaltung;;Kornpfortstraße;15;;;DEU;HOUSE;126
Hochschule für Bildende Künste (Städelschule);;Dürerstraße;10;;;DEU;HOUSE;120
Augustana-Hochschule Neuendettelsau;;Waldstraße;11;91564;Neuendettelsau;DEU;HOUSE;120
Hochschule für Kommunikation und Gestaltung;;Kölner Straße;38;;;DEU;HOUSE;118
Quadriga Hochschule Berlin;;Werderscher Markt;13;;;DEU;HOUSE;108
Hochschule für Jüdische Studien Heidelberg;;Landfriedstraße;12;;;DEU;HOUSE;103
Theologische Hochschule Reutlingen - staatlich anerkannte Fachhochschule der Evangelisch-methodistischen Kirche;;Friedrich-Ebert-Straße;31;;;DEU;HOUSE;96
VWA-Hochschule für berufsbegleitendes Studium;;Wolframstraße;32;;Stuttgart;DEU;HOUSE;96
Theologisches Hochschule Ewersbach;;Jahnstraße;49-53;;;DEU;HOUSE;88
Fachhochschule für Interkulturelle Theologie Hermannsburg;;Missionsstraße;3-5;;;DEU;HOUSE;78
Barenboim-Said Akademie;;Französische Straße;33D;;;DEU;HOUSE;74
Archivschule Marburg - Hochschule für Archivwissenschaft;;Bismarckstraße;32;;;DEU;HOUSE;73
Theologische Fakultät Paderborn;;Kamp;6;;;DEU;HOUSE;71
Kölner Hochschule für Katholische Theologie (KHKT);;Gleuelerstraße;262-268;;;DEU;HOUSE;60
media Akademie - Hochschule Stuttgart;;Tübinger Str.;12-16;;;DEU;HOUSE;59
Evangelische Hochschule für Kirchenmusik;;Kleine Ulrichstraße;35;;;DEU;HOUSE;57
Theologische Hochschule Elstal;;Johann-Gerhard-Oncken-Straße;7;;;DEU;HOUSE;49
Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen;;Parkstr.;6;;;DEU;HOUSE;46
Hochschule für Kirchenmusik der Evangelischen Landeskirche in Baden;;Hildastr.;8;;;DEU;HOUSE;44
Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern;;Wilhelminenstraße;9;;;DEU;HOUSE;26
Hochschule für Kirchenmusik der Evangelisch-Lutherischen Landeskirche Sachsens;;Käthe Kollwitz Ufer;97;;;DEU;HOUSE;26
Kolping Hochschule;;;Mevissenstr.3;;;DEU;HOUSE;19
Hochschule für Kirchenmusik der Diözese Rottenburg-Stuttgart;;St.-Meinrad-Weg;6;;;DEU;HOUSE;19
Hochschule für Kirchenmusik der Evangelischen Landeskirche in Württemberg;;Gartenstraße;12;;;DEU;HOUSE;19
Lutherische Theologische Hochschule Oberursel;;Altkönigstraße;150;;;DEU;HOUSE;18
University of Labour;;Eschersheimer Landstr.;155-157;;;DEU;HOUSE;17
Theologische Fakultät Fulda;;Eduard-Schick-Platz;2;;;DEU;HOUSE;17
DEKRA Hochschule für Medien;;Ehrenbergstraße;11-14;;;DEU;HOUSE;12
Philosophisch-Theologische Hochschule Münster - Kirchlich und staatlich anerkannte Hochschule in Trägerschaft der PTH Philosophisch-Theologische Hochschule Münster gemeinnützige GmbH;;Kapuzinerstr.;27;48149;Münster;DEU;HOUSE;7
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau;;Gottlieb-Daimler-Straße;47;67653;Kaiserslautern;DEU;HOUSE;
Universität Koblenz;;Universitätsstraße;1;56016;Koblenz;DEU;HOUSE;
INU - Innovative Hochschule für angewandte Wissenschaften;;Widdersdorfer Straße;262;;;DEU;HOUSE;
Polizeiakademie Niedersachsen;;Bürgermeister-Stahn-Wall;9;;;DEU;HOUSE;
Steuerakademie Niedersachsen;;Bahnhofstraße;5;;;DEU;HOUSE;
GU Deutsche Hochschule für Angewandte Wissenschaften - German University of Applied Sciences;;Jägerallee;26;;;DEU;HOUSE;
